Table 6. Comparison of Non-Tidal Macroinvertebrate Enumeration Methods,Table 6. Comparison of Non-Tidal Macroinvertebrate Enumeration Methods,Table 6. Comparison of Non-Tidal Macroinvertebrate Enumeration Methods,Table 6. Comparison of Non-Tidal Macroinvertebrate Enumeration Methods,Table 6. Comparison of Non-Tidal Macroinvertebrate Enumeration Methods,
OTHER ISSUES:,OTHER ISSUES:,,,,
OTHER DOCUMENTATION:,OTHER DOCUMENTATION:,,,,
"Astin, L. E. 2007. Developing biological indicators from diverse data: The Potomac Basin-wide Index of","Astin, L. E. 2007. Developing biological indicators from diverse data: The Potomac Basin-wide Index of","Astin, L. E. 2007. Developing biological indicators from diverse data: The Potomac Basin-wide Index of","Astin, L. E. 2007. Developing biological indicators from diverse data: The Potomac Basin-wide Index of","Astin, L. E. 2007. Developing biological indicators from diverse data: The Potomac Basin-wide Index of","Astin, L. E. 2007. Developing biological indicators from diverse data: The Potomac Basin-wide Index of"
"Benthic Integrity (B-IBI). Ecological Indicators, 7: 895-908.","Benthic Integrity (B-IBI). Ecological Indicators, 7: 895-908.","Benthic Integrity (B-IBI). Ecological Indicators, 7: 895-908.",,,
"Astin, L.E. 2006. Data synthesis and bioindicator development for nontidal streams in the interstate","Astin, L.E. 2006. Data synthesis and bioindicator development for nontidal streams in the interstate","Astin, L.E. 2006. Data synthesis and bioindicator development for nontidal streams in the interstate","Astin, L.E. 2006. Data synthesis and bioindicator development for nontidal streams in the interstate","Astin, L.E. 2006. Data synthesis and bioindicator development for nontidal streams in the interstate","Astin, L.E. 2006. Data synthesis and bioindicator development for nontidal streams in the interstate"
"Potomac River basin, USA. Ecological Indicators, 6: 664-685.","Potomac River basin, USA. Ecological Indicators, 6: 664-685.","Potomac River basin, USA. Ecological Indicators, 6: 664-685.","Potomac River basin, USA. Ecological Indicators, 6: 664-685.",,
"Barbour, M.T., J. Gerritsen, B.D. Snyder, and J.B. Stribling. 1999. Rapid Bioassessment Protocols for","Barbour, M.T., J. Gerritsen, B.D. Snyder, and J.B. Stribling. 1999. Rapid Bioassessment Protocols for","Barbour, M.T., J. Gerritsen, B.D. Snyder, and J.B. Stribling. 1999. Rapid Bioassessment Protocols for","Barbour, M.T., J. Gerritsen, B.D. Snyder, and J.B. Stribling. 1999. Rapid Bioassessment Protocols for","Barbour, M.T., J. Gerritsen, B.D. Snyder, and J.B. Stribling. 1999. Rapid Bioassessment Protocols for","Barbour, M.T., J. Gerritsen, B.D. Snyder, and J.B. Stribling. 1999. Rapid Bioassessment Protocols for"
"Use in Streams and Wadeable Rivers: Periphyton, Benthic Macroinvertebrates and Fish, Second Edition.","Use in Streams and Wadeable Rivers: Periphyton, Benthic Macroinvertebrates and Fish, Second Edition.","Use in Streams and Wadeable Rivers: Periphyton, Benthic Macroinvertebrates and Fish, Second Edition.","Use in Streams and Wadeable Rivers: Periphyton, Benthic Macroinvertebrates and Fish, Second Edition.","Use in Streams and Wadeable Rivers: Periphyton, Benthic Macroinvertebrates and Fish, Second Edition.","Use in Streams and Wadeable Rivers: Periphyton, Benthic Macroinvertebrates and Fish, Second Edition."
"PA 841-B-99-002. U.S. Environmental Protection Agency; Office of Water; Washington, D.C. Available","PA 841-B-99-002. U.S. Environmental Protection Agency; Office of Water; Washington, D.C. Available","PA 841-B-99-002. U.S. Environmental Protection Agency; Office of Water; Washington, D.C. Available","PA 841-B-99-002. U.S. Environmental Protection Agency; Office of Water; Washington, D.C. Available","PA 841-B-99-002. U.S. Environmental Protection Agency; Office of Water; Washington, D.C. Available","PA 841-B-99-002. U.S. Environmental Protection Agency; Office of Water; Washington, D.C. Available"
online at: http://www.epa.gov/owow/monitoring/rbp/download.htm,online at: http://www.epa.gov/owow/monitoring/rbp/download.htm,online at: http://www.epa.gov/owow/monitoring/rbp/download.htm,online at: http://www.epa.gov/owow/monitoring/rbp/download.htm,,
,Remember: Please Read the Data Documentation Files!,Remember: Please Read the Data Documentation Files!,Remember: Please Read the Data Documentation Files!,Remember: Please Read the Data Documentation Files!,Remember: Please Read the Data Documentation Files!
,,48,,,
