Name: “Table 1 of 1 on page 94 of 170”,Name: “Table 1 of 1 on page 94 of 170”,Name: “Table 1 of 1 on page 94 of 170”,Name: “Table 1 of 1 on page 94 of 170”,Name: “Table 1 of 1 on page 94 of 170”,Name: “Table 1 of 1 on page 94 of 170”,Name: “Table 1 of 1 on page 94 of 170”,Name: “Table 1 of 1 on page 94 of 170”,Name: “Table 1 of 1 on page 94 of 170”
BAY450,11/1/2006,11/30/2006,BAY496,1/1/2009,1/15/2009,BAY542,12/1/2010,12/15/2010
BAY451,12/1/2006,12/31/2006,BAY497,1/16/2009,1/31/2009,BAY543,12/16/2010,12/31/2010
BAY452,1/3/2007,1/31/2007,BAY498,2/1/2009,2/15/2009,BAY544,1/1/2011,1/15/2011
BAY453,2/1/2007,2/28/2007,BAY499,2/16/2009,2/28/2009,BAY545,1/16/2011,1/31/2011
BAY454,3/1/2007,3/15/2007,BAY500,3/1/2009,3/15/2009,BAY546,2/1/2011,2/15/2011
BAY455,3/16/2007,3/30/2007,BAY501,3/16/2009,3/31/2009,BAY547,2/16/2011,2/28/2011
BAY456,4/1/2007,4/15/2007,BAY502,4/1/2009,4/15/2009,BAY548,3/1/2011,3/15/2011
BAY457,4/16/2007,4/30/2007,BAY503,4/16/2009,4/30/2009,BAY549,3/16/2011,3/31/2011
BAY458,5/1/2007,5/15/2007,BAY504,5/1/2009,5/15/2009,BAY550,4/1/2011,4/15/2011
BAY459,5/16/2007,5/31/2007,BAY505,5/16/2009,5/31/2009,BAY551,4/16/2011,4/30/2011
BAY460,6/1/2007,6/15/2007,BAY506,6/1/2009,6/15/2009,BAY552,5/1/2011,5/15/2011
BAY461,6/16/2007,6/30/2007,BAY507,6/16/2009,6/30/2009,BAY553,5/16/2011,5/31/2011
BAY462,7/1/2007,7/15/2007,BAY508,7/1/2009,1/15/2009,BAY554,6/1/2011,6/15/2011
BAY463,7/16/2007,7/31/2007,BAY509,7/16/2009,7/30/2009,BAY555,6/16/2011,6/30/2011
BAY464,8/1/2007,8/15/2007,BAY510,8/1/2009,8/15/2009,BAY556,7/1/2011,7/15/2011
BAY465,8/16/2007,8/31/2007,BAY511,8/16/2009,8/31/2009,BAY557,7/16/2011,7/31/2011
BAY466,9/1/2007,9/15/2007,BAY512,9/1/2009,9/15/2009,BAY558,8/1/2011,8/15/2011
BAY467,9/16/2007,9/30/2007,BAY513,9/16/2009,9/30/2009,BAY559,8/16/2011,8/31/2011
BAY468,10/1/2007,10/15/2007,BAY514,10/1/2009,10/15/2009,BAY560,9/1/2011,9/15/2011
BAY469,10/16/2007,10/31/2007,BAY515,10/16/2009,10/31/2009,BAY561,9/16/2011,9/30/2011
BAY470,11/1/2007,11/30/2007,BAY516,11/1/2009,11/15/2009,BAY562,10/1/2011,10/15/2011
BAY471,12/1/2007,12/31/2007,BAY517,11/16/2009,11/30/2009,BAY563,10/16/2011,10/31/2011
BAY472,1/1/2008,1/15/2008,BAY518,12/1/2009,12/15/2009,BAY564,11/1/2011,11/15/2011
BAY473,1/16/2008,1/31/2008,BAY519,12/16/2009,12/31/2009,BAY565,11/16/2011,11/30/2011
BAY474,2/1/2008,2/15/2008,BAY520,1/1/2010,1/15/2010,BAY566,12/1/2011,12/15/2011
BAY475,2/16/2008,2/29/2008,BAY521,1/16/2010,1/31/2010,BAY567,12/16/2011,12/31/2011
BAY476,3/1/2008,3/15/2008,BAY522,2/1/2010,2/15/2010,BAY568,1/1/2012,1/15/2012
BAY477,3/16/2008,3/31/2008,BAY523,2/16/2010,2/28/2010,BAY569,1/16/2012,1/31/2012
BAY478,4/1/2008,4/16/2008,BAY524,3/1/2010,3/15/2010,BAY570,2/1/2012,2/15/2012
BAY479,4/17/2008,4/30/2008,BAY525,3/16/2010,3/31/2010,BAY571,2/16/2012,2/29/2012
BAY480,5/1/2008,5/15/2008,BAY526,4/1/2010,4/15/2010,BAY572,3/1/2012,3/15/2012
BAY481,5/16/2008,5/31/2008,BAY527,4/16/2010,4/30/2010,BAY573,3/16/2012,3/31/2012
BAY482,6/1/2008,6/15/2008,BAY528,5/1/2010,5/15/2010,BAY574,4/1/2012,4/15/2012
BAY483,6/16/2008,6/30/2008,BAY529,5/16/2010,5/31/2010,BAY575,4/16/2012,4/30/2012
BAY484,7/1/2008,7/15/2008,BAY530,6/1/2010,6/15/2010,BAY576,5/1/2012,5/15/2012
,,,,92,,,,
