Name: “Table 1 of 1 on page 92 of 170”,Name: “Table 1 of 1 on page 92 of 170”,Name: “Table 1 of 1 on page 92 of 170”,Name: “Table 1 of 1 on page 92 of 170”,Name: “Table 1 of 1 on page 92 of 170”,Name: “Table 1 of 1 on page 92 of 170”,Name: “Table 1 of 1 on page 92 of 170”,Name: “Table 1 of 1 on page 92 of 170”,Name: “Table 1 of 1 on page 92 of 170”
BAY173,2/1/1993,2/28/1993,BAY219,5/16/1995,5/31/1995,BAY265,8/16/1997,8/31/1997
BAY174,3/1/1993,3/15/1993,BAY220,6/1/1995,6/15/1995,BAY266,9/1/1997,9/15/1997
BAY175,3/16/1993,3/31/1993,BAY221,6/16/1995,6/30/1995,BAY267,9/16/1997,9/30/1997
BAY176,4/1/1993,4/15/1993,BAY222,7/1/1995,7/15/1995,BAY268,10/1/1997,10/17/1997
BAY177,4/16/1993,4/30/1993,BAY223,7/16/1995,7/31/1995,BAY269,10/18/1997,10/31/1997
BAY178,5/1/1993,5/15/1993,BAY224,8/1/1995,8/15/1995,BAY270,11/1/1997,11/30/1997
BAY179,5/16/1993,5/31/1993,BAY225,8/16/1995,8/31/1995,BAY271,12/1/1997,12/31/1997
BAY180,6/1/1993,6/15/1993,BAY226,9/1/1995,9/15/1995,BAY272,1/1/1998,1/31/1998
BAY181,6/16/1993,6/30/1993,BAY227,9/16/1995,9/30/1995,BAY273,2/1/1998,2/28/1998
BAY182,7/1/1993,7/15/1993,BAY228,10/1/1995,10/15/1995,BAY274,3/1/1998,3/15/1998
BAY183,7/16/1993,7/31/1993,BAY229,10/16/1995,10/31/1995,BAY275,3/16/1998,3/31/1998
BAY184,8/1/1993,8/15/1993,BAY230,11/1/1995,11/30/1995,BAY276,4/1/1998,4/15/1998
BAY185,8/16/1993,8/31/1993,BAY231,12/1/1995,12/31/1995,BAY277,4/16/1998,4/30/1998
BAY186,9/1/1993,9/15/1993,BAY232,1/1/1996,1/31/1996,BAY278,5/1/1998,5/15/1998
BAY187,9/16/1993,9/30/1993,BAY233,2/1/1996,2/29/1996,BAY279,5/16/1998,5/31/1998
BAY188,10/1/1993,10/15/1993,BAY234,3/1/1996,3/15/1996,BAY280,6/1/1998,6/14/1998
BAY189,10/16/1993,10/31/1993,BAY235,3/16/1996,3/31/1996,BAY281,6/15/1998,6/30/1998
BAY190,11/1/1993,11/30/1993,BAY236,4/1/1996,4/15/1996,BAY282,7/1/1998,7/15/1998
BAY191,12/1/1993,12/31/1993,BAY237,4/16/1996,4/30/1996,BAY283,7/16/1998,7/31/1998
BAY192,1/1/1994,1/31/1994,BAY238,5/1/1996,5/15/1996,BAY284,8/1/1998,8/15/1998
BAY193,2/1/1994,2/28/1994,BAY239,5/16/1996,5/31/1996,BAY285,8/16/1998,8/31/1998
BAY194,3/1/1994,3/15/1994,BAY240,6/1/1996,6/15/1996,BAY286,9/1/1998,9/13/1998
BAY195,3/16/1994,3/31/1994,BAY241,6/16/1996,6/30/1996,BAY287,9/14/1998,9/30/1998
BAY196,4/1/1994,4/15/1994,BAY242,7/1/1996,7/15/1996,BAY288,10/1/1998,10/15/1998
BAY197,4/16/1994,4/30/1994,BAY243,7/16/1996,7/31/1996,BAY289,10/16/1998,10/31/1998
BAY198,5/1/1994,5/15/1994,BAY244,8/1/1996,8/15/1996,BAY290,11/1/1998,11/30/1998
BAY199,5/16/1994,5/31/1994,BAY245,8/16/1996,8/31/1996,BAY291,12/1/1998,12/31/1998
BAY200,6/1/1994,6/15/1994,BAY246,9/1/1996,9/15/1996,BAY292,1/1/1999,1/31/1999
BAY201,6/16/1994,6/30/1994,BAY247,9/16/1996,9/30/1996,BAY293,2/1/1999,2/28/1999
BAY202,7/1/1994,7/15/1994,BAY248,10/1/1996,10/15/1996,BAY294,3/1/1999,3/14/1999
BAY203,7/16/1994,7/31/1994,BAY249,10/16/1996,10/31/1996,BAY295,3/15/1999,3/31/1999
BAY204,8/1/1994,8/15/1994,BAY250,11/1/1996,11/30/1996,BAY296,4/1/1999,4/15/1999
BAY205,8/16/1994,8/31/1994,BAY251,12/1/1996,12/31/1996,BAY297,4/16/1999,4/30/1999
BAY206,9/1/1994,9/15/1994,BAY252,1/1/1997,1/31/1997,BAY298,5/1/1999,5/15/1999
BAY207,9/16/1994,9/30/1994,BAY253,2/1/1997,2/28/1997,BAY299,5/16/1999,5/31/1999
,,,,90,,,,
