Parkname,Unit Type,State,Region,Date Edit,Unit Name,latitude,longitude
,Park,,,,Soapstone Valley,38.9465296470464,-77.0586520838273
,Park,,,,Folger Park,38.8847765566089,-77.0024713609136
,Park,,,,Farragut Square,38.9020472826905,-77.0386586004281
,Park,,,,Dupont Circle,38.9097509441394,-77.04314099358
,Park,,,,"The Mall, Henry Park",38.8920756216147,-77.0182394862663
,Park,,,,"The Mall, Seaton Section",38.8873361786542,-77.019107756028
,Park,,,,Thomas Circle,38.9057684050932,-77.0316507941569
,Park,,,,Town Center Park,38.8789573325446,-77.0172499909797
,Park,,,,Triangle Park,38.9160011863916,-77.0092387564815
,Park,,,,Triangle Park (BOLIVAR [SIMON] STATUE),38.893248782774,-77.0421606323287
,Park,,,,Triangle Park (JUAREZ STATUE),38.8992282660461,-77.0531701521339
,Park,,,,Triangle Park (SAN MARTIN STATUE),38.8952095076226,-77.0454869959893
,Park,,,,Truxton Park,38.9111967123197,-77.0090521482935
,Park,,,,Twining Park,38.8736779217671,-76.9707130321024
,Park,,,,Galvez (Bernardo De) Park,38.8958141244183,-77.0479477602501
,Park,,,,Washington Circle,38.9026404442266,-77.0498093492793
,Park,,,,Westmoreland Circle,38.9490109468686,-77.1006373709445
,Park,,,,Whitehaven Parkway,38.9177482243324,-77.0770277279546
,Park,,,,Whitman (Walt) Park,38.8958027058061,-77.0439039462703
,Park,,,,Woodley Park,38.9312653982206,-77.0589266518049
,Park,,,,Dumbbarton Oaks Park,38.9170806587693,-77.0634317291992
,Park,,,,Dalecarlia Parkway,38.94916362539,-77.0998591191372
,Park,,,,Curb Parking,38.9300980908054,-77.0394749694999
,Park,,,,Columbus Plaza,38.8966991797168,-77.0061718160012
,Park,,,,Chevy Chase Circle,38.9676779132378,-77.0767377999561
,Park,,,,Center Parking,38.907176079409,-77.0131603491889
,Park,,,,"Anacostia Park, Section C",38.8678315955255,-76.9957305244683
,Park,,,,Bryce Park,38.928108736424,-77.0721639969742
,Park,,,,Achbold Parkway,38.9120625576851,-77.0810408551985
Greenbelt,Park,MD,NC,Wed Aug 31 00:00:00 UTC 2005,Greenbelt Park,38.9840274057351,-76.8977324994155
,Park,,,,Beach Parkway,38.9911398432445,-77.0438965332974
,Park,,,,Battleground National Cemetery,38.9708364838928,-77.0263905377807
,Park,,,,Battery Ricketts,38.8579540702142,-76.9751801463482
,Park,,,,Battery Kemble Park,38.9302029211975,-77.0954302764833
,Park,,,,Barnard Hill,38.940042986041,-76.9693402052378
,Park,,,,Banneker (Benjamin) Park,38.8814959700499,-77.0255624955232
Piscataway,Park,MD,NC,Fri Jan 18 00:00:00 UTC 2008,Piscataway Park,38.6874524596354,-77.0531782248618
,Park,,,,Anacostia Park,38.8766657867081,-76.9761077165355
,Park,,,,Bald Eagle Hill,38.8181235682318,-77.0078615113703
Fort Washington Park,Park,MD,NC,Mon Nov 17 00:00:00 UTC 2008,Fort Washington Park,38.7116652508923,-77.0287137738441
,Park,,,,"Anacostia Park, Section G",38.9073017510402,-76.9545081026481
National Capital Parks,Park,DC,NC,Tue Feb 23 00:00:00 UTC 2010,National Capital Parks,38.8590058270161,-76.9598337169243
Catoctin Mountain Park,Park,MD,NC,Tue Feb 23 00:00:00 UTC 2010,Catoctin Mountain Park,39.6559543404959,-77.4612213280195
,Park,,,,West Potomac Park,38.8875489208476,-77.0443274896582
,Park,,,,East Potomac Park Hains Point,38.8697775438849,-77.0307340618156
,Park,,,,"Anacostia Park, Section F",38.8878741275731,-76.9697900705128
,Park,,,,"Anacostia Park, Section E",38.8787189940991,-76.9720980090242
,Park,,,,"Anacostia Park, Section D",38.8739105983711,-76.9834737140593
,Park,,,,Buzzard Point,38.8641928164345,-77.0111424738123
,Parkway,,,,Baltimore Washington Parkway,39.0290453586292,-76.8505111533218
,Parkway,,,,Blue Ridge,37.7194471638926,-79.3366445607617
