Name: “Table 1 of 1 on page 11 of 16”,Name: “Table 1 of 1 on page 11 of 16”,Name: “Table 1 of 1 on page 11 of 16”,Name: “Table 1 of 1 on page 11 of 16”,Name: “Table 1 of 1 on page 11 of 16”,Name: “Table 1 of 1 on page 11 of 16”
#VARIABLE NAMES AND DESCRIPTIONS FOR SPECIES KEY,#VARIABLE NAMES AND DESCRIPTIONS FOR SPECIES KEY,#VARIABLE NAMES AND DESCRIPTIONS FOR SPECIES KEY,#VARIABLE NAMES AND DESCRIPTIONS FOR SPECIES KEY,#VARIABLE NAMES AND DESCRIPTIONS FOR SPECIES KEY,
These tables cross references Academy of Natural Sciences species codes and spellings with current,These tables cross references Academy of Natural Sciences species codes and spellings with current,These tables cross references Academy of Natural Sciences species codes and spellings with current,These tables cross references Academy of Natural Sciences species codes and spellings with current,These tables cross references Academy of Natural Sciences species codes and spellings with current,These tables cross references Academy of Natural Sciences species codes and spellings with current
National Oceanographic Data Center taxonomic codes and ITIS TSN codes. Structure for data files on,National Oceanographic Data Center taxonomic codes and ITIS TSN codes. Structure for data files on,National Oceanographic Data Center taxonomic codes and ITIS TSN codes. Structure for data files on,National Oceanographic Data Center taxonomic codes and ITIS TSN codes. Structure for data files on,National Oceanographic Data Center taxonomic codes and ITIS TSN codes. Structure for data files on,National Oceanographic Data Center taxonomic codes and ITIS TSN codes. Structure for data files on
http://www.chesapeakebay.net/,http://www.chesapeakebay.net/,,,,
Name,Type,Width,Variable Descriptions,Variable Descriptions,
SPEC_CODE,Text,14,Source In-House Species Codes,Source In-House Species Codes,
SOURCE,Text,6,Data Source Identifier,Data Source Identifier,
DATA_TYPE,Text,2,Data Type Identifier Code,Data Type Identifier Code,
SOURCE_LBL,Text,45,Source Species Latin Name,Source Species Latin Name,
LBL,Text,45,National Oceanographic Data Center Species Latin Name,National Oceanographic Data Center Species Latin Name,National Oceanographic Data Center Species Latin Name
TSN,Text,7,ITIS Taxon Serial Number,ITIS Taxon Serial Number,
R_DATE,Date/Time,8,Version Date of Data (YYYYMMDD),Version Date of Data (YYYYMMDD),
VOLUME,Number,8,Cell Biomass Estimator,Cell Biomass Estimator,
SIZE,Text,30,Taxa Size-Fraction Identifier,Taxa Size-Fraction Identifier,
LIFE_STG,Text,3,Chesapeake Bay Program Life Stage Code,Chesapeake Bay Program Life Stage Code,
# REFERENCE CODES IN DATA FILES AND TAXONOMIC KEY,# REFERENCE CODES IN DATA FILES AND TAXONOMIC KEY,# REFERENCE CODES IN DATA FILES AND TAXONOMIC KEY,# REFERENCE CODES IN DATA FILES AND TAXONOMIC KEY,# REFERENCE CODES IN DATA FILES AND TAXONOMIC KEY,
See the 2000 User's Guide to Chesapeake Bay Program Biological and Living Resources Data for full,See the 2000 User's Guide to Chesapeake Bay Program Biological and Living Resources Data for full,See the 2000 User's Guide to Chesapeake Bay Program Biological and Living Resources Data for full,See the 2000 User's Guide to Chesapeake Bay Program Biological and Living Resources Data for full,See the 2000 User's Guide to Chesapeake Bay Program Biological and Living Resources Data for full,See the 2000 User's Guide to Chesapeake Bay Program Biological and Living Resources Data for full
listing.,,,,,
>MISSING VALUES: Missing SAMPLING_TIME values have been replaced with 00:00.,>MISSING VALUES: Missing SAMPLING_TIME values have been replaced with 00:00.,>MISSING VALUES: Missing SAMPLING_TIME values have been replaced with 00:00.,>MISSING VALUES: Missing SAMPLING_TIME values have been replaced with 00:00.,>MISSING VALUES: Missing SAMPLING_TIME values have been replaced with 00:00.,
,,,,11,03/11/09
