,Total mapped (hectares),acres mapped (using 2.4711 conversion),estimated additional hectares,estimated additional acres (using 2.4711),total hectares w/ estimated additional hectares ,total acres w/ estimated additional acres (using 2.4711),percent goal achieved ,SAV: acres ,No density reported (thousands of acres),<10% (thousands of acres),10-40% (thousands of acres),40-70% (thousands of acres),70-100% (thousands of acres),high density class %of total
2004,29519.38,"72,945.34",,,,72945.34,39.43,"preliminary 5/9/05, final 5/16/06",,14.401,20.289,17.000,21.255,29
2005,"31,671.27","78,262.88",,,,78262.88,42.30,"preliminary 5/16/06, final 3/05/07",,10.081,22.487,11.802,33.893,43
2006,"23,940.94","59,160.46",,,,59160.46,31.98,"preliminary 3/05/07, final 2/27/08",,9.410,19.411,11.135,19.154,32
2007,"26,270.68","64,917.48",,,,64917.48,35.09,preliminary 2/27/09; final 1/30/09,,9.632,13.731,7.757,33.798,52
2008,31103.66,"76,860.25",,,,76860.25,41.55,preliminary 3/2/09;final 021910,,9.731,13.853,7.179,46.097,60
2009,"34,767.70","85,914.46",,,,85914.46,46.44,preliminary 2/25/10; final 2/11/11,,11.957,15.968,8.239,49.751,58
2010,32238.31,"79,664.09",,,,79664.09,43.06,preliminary 2/11/11; final 3/8/12,,7.045,15.062,6.580,50.976,64
2011,"23,456.93","57,964.42",2071.41,5118.65,25528.34,63083.07,34.10,preliminary 3/22/12; final 3/28/13,,6.973,10.895,15.450,24.647,43
2012,"19,503.48","48,195.05",,,,48195.05,26.05,preliminary 3/28/13; final 11/7/13,,5.066,7.206,9.302,26.616,55
,,,,,,,,,,,,,,
2011-2012 change,,,,,,"-14,888.02",-8.05,,,,,,,
,,,,,,,,,,,,,,
1984-2012 ave,,,,,,65666.00,35.50,,,,,,,44
1984-2012 max,,,,,,89659.07,48.46,,,,,,,64
1984-2012 min,,,,,,38958.18,21.06,,,,,,,24
,,,,,,,,,,,,,,
2003-2012 ave,,,,,,69253.00,37.43,,,,,,,
2003-2012 max,,,,,,85914.46,46.44,,,,,,,
2003-2012 min,,,,,,48195.05,26.05,,,,,,,
Notes:,,,,,,,,,,,,,,
"2011: Only 57,964 acres were mapped in 2011. It is estimated that an additional 5,119 acres may have been present (for an estimated total of 63,083), however, they could not be mapped since SAV signatures were masked by excess turbidity present months after the passage of Hurricane Irene and Tropical Storm Lee. The regions that were not mapped are contained within nine CBP segments, including the Middle, Upper and Western Branch of the Patuxent River; the Middle and Upper Potomac River; Piscataway Creek; and the Anacostia River.  The estimated additional acreage is based on acreages mapped in those regions in 2010. Zone and density totals do NOT include estimated additional acreage.",,,,,,,,,,,,,,
2006:  all historic acreage was corrected using 2.4711 as the conversion from hectares to acres.,,,,,,,,,,,,,,
"2005:  On 5/24/05, Dave Wilcox noted an error in the reported estimated additional acres for 2003.  This reduced the the estimate from 3,015 to 1,832 and resulted in a revised total (reduced from 64,710 to 63,524",,,,,,,,,,,,,,
"2005:  All historic acreage data was corrected using 2.471 as the conversion from hectares to acres.  Previously, from 1978-1999, 2.47 was used and from 2000-2004, 2.4711 was used.",,,,,,,,,,,,,,
"2003:  Only 61,695 acres were mapped baywide in 2003.  It is estimated that an additional 1,832 acres may have been present (for an estimated baywide total of 63,527), however, they could not be mapped since some portions of the Bay were not flown due to adverse weather in the spring and summer and Hurricane Isabel in the fall. These regions, including Tavern and Swan creeks; lower Chester River; upper Wicomico River; Prentice, Dividing, and Ball creeks; Dameron Marsh; and Great Wicomico River were not fully mapped in 2003. The estimated additional acreage is based on acreages mapped in those regions in 2002.  Zone and density totals do NOT include estimated additional acreage.",,,,,,,,,,,,,,
"*2001:  Only 77,889 acres were mapped baywide in 2001. It is estimated that an additional 7,525 acres may have been present (for an estimated baywide total of 85,415), however, they could not be surveyed due to flight restrictions following September 11.  The estimated additional acreage is based on acreages mapped in those regions in 2000. Zone and density totals do NOT include estimated additional acreage.",,,,,,,,,,,,,,
"*1999: Only 64,718 acres were mapped baywide in 1999.  It is estimated that an additional 3,382 acres may have been present (for an estimated baywide total of 69,000), however, they could not be mapped due to the following: either flown too late in 1999, due to poor atmospheric conditions and severe storm events, or not flown until after an early seasonal die-back in freshwater SAV species, possibly a result of increased salinity during the drought and severe storm events. Those areas include Spesutie Narrows, the Bush, Gunpowder, upper Patuxent, lower Magothy, upper York and upper James rivers, and the Swan Point and Tavern Creek area. The estimated additional acreage is based on acreages mapped in those regions in 1998. Zone and density totals do NOT include estimated additional acreage.",,,,,,,,,,,,,,
"*1998 acreage includes previously unsampled portions of the James, York and Rappahannock: 906 acres that were not included in previous totals ",,,,,,,,,,,,,,
*1997 zone/density acreage updated 6/3/98 (preliminary numbers),,,,,,,,,,,,,,
*1996 zone data revised 6/3/98 (segment changes),,,,,,,,,,,,,,
*Zone data prior to 1996 revised 4/17/00 due to newly adopted Bay segmentation scheme in 1997.,,,,,,,,,,,,,,
"1986: Only 47,414 acres were mapped baywide in 1986.  It is estimated that an additional 276 acres may have been present (for an estimated baywide total of 47,690), however, they could not be mapped due to flight restrictions around Aberdeen Proving Grounds. Where available, the previous and subsequent year’s data were averaged to generate estimated additional acreage. Please refer to “SAV Area Estimates for Missing 1984 and 1986 Quadrangles Technical Note 12/15/97” for details.  Zone and density totals do NOT include estimated additional acreage.",,,,,,,,,,,,,,
"1984: Only 38,228 acres were mapped baywide in 1984.  It is estimated that an additional 731 acres may have been present (for an estimated baywide total of 38,958), however, they could not be mapped due to flight restrictions around Patuxent Naval Air, camera malfunction and missing digital files. Where available, the previous and subsequent year’s data were averaged to generate estimated additional acreage. Please refer to “SAV Area Estimates for Missing 1984 and 1986 Quadrangles Technical Note 12/15/97” for details.  Zone and density totals do NOT include estimated additional acreage.",,,,,,,,,,,,,,
