,hectares,acres,% of zone total,hectares,acres,% of zone total,hectares,acres,% of zone total,hectares,acres,% of zone total,hectares,acres,
Total,"4,838.76","11,957.06",14%,"6,461.85","15,967.88",19%,"3,334.09","8,238.87",10%,"20,133.00","49,750.66",58%,"34,767.70","85,914.46",
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
2010,Class 1,,,Class 2,,,Class 3,,,Class 4,,,Total ,,
Upper,207.41,512.53,2%,670.38,"1,656.58",8%,324.54,801.97,4%,"7,438.61","18,381.55",86%,"8,640.94","21,352.63",
Middle,"1,199.72","2,964.63",8%,"2,863.51","7,076.02",20%,"1,304.56","3,223.70",9%,"8,976.51","22,181.85",63%,"14,344.30","35,446.20",
Lower,"1,443.97","3,568.19",16%,"2,561.39","6,329.45",28%,"1,033.83","2,554.70",11%,"4,213.88","10,412.92",46%,"9,253.07","22,865.26",
Total,"2,851.11","7,045.38",9%,"6,095.28","15,062.05",19%,"2,662.92","6,580.34",8%,"20,629.00","50,976.32",64%,"32,238.31","79,664.09",
,,,,,,,,,,,,,,,
2011,Class 1,,,Class 2,,,Class 3,,,Class 4,,,Total ,,
Upper,383.49,947.64,7%,911.34,"2,252.01",17%,"1,098.83","2,715.32",20%,"2,983.39","7,372.26",55%,"5,377.06","13,287.25",
Middle,"1,570.58","3,881.06",13%,"1,866.09","4,611.29",16%,"3,303.86","8,164.17",28%,"5,004.58","12,366.82",43%,"11,745.11","29,023.34","*Note: portions of the middle zone were not fully mapped in 2011 since SAV signatures were masked by excess turbidity present months after the passage of Hurricane Irene and Tropical Storm Lee. The regions that were not mapped are contained within nine CBP segments, including the Middle, Upper and Western Branch of the Patuxent River; the Middle and Upper Potomac River; Piscataway Creek; and the Anacostia River.  "
Lower,867.71,"2,144.20",14%,"1,631.46","4,031.50",26%,"1,849.51","4,570.32",29%,"1,986.08","4,907.80",31%,"6,334.76","15,653.83",
Total,"2,821.78","6,972.90",12%,"4,408.89","10,894.81",19%,"6,252.20","15,449.81",27%,"9,974.06","24,646.90",43%,"23,456.93","57,964.42","*Only 57,964 acres were mapped baywide in 2011. It is estimated that an additional 5,119 acres may have been present, however, they could not be mapped since SAV signatures were masked by excess turbidity present months after the passage of Hurricane Irene and Tropical Storm Lee. The regions that were not mapped are contained within nine CBP segments, including the Middle, Upper and Western Branch of the Patuxent River; the Middle and Upper Potomac River; Piscataway Creek; and the Anacostia River.  The estimated additional acreage is based on acreages mapped in those regions in 2010. Zone and density totals do NOT include estimated additional acreage."
,,,,,,,,,,,,,,,
2012,Class 1,,,Class 2,,,Class 3,,,Class 4,,,Total ,,
Upper,187.46,463.23,5%,234.87,580.39,6%,557.6,"1,377.89",15%,"2,697.29","6,665.27",73%,"3,677.21","9,086.75",
Middle,877.09,"2,167.38",9%,"1,654.84","4,089.28",17%,"2,282.39","5,640.01",23%,"5,107.41","12,620.92",51%,"9,921.72","24,517.56",
Lower,986.62,"2,438.04",17%,"1,027.01","2,537.84",17%,925.49,"2,286.98",16%,"2,965.43","7,327.87",50%,"5,904.54","14,590.71",
Total,"2,051.17","5,068.65",11%,"2,916.71","7,207.48",15%,"3,765.48","9,304.88",19%,"10,770.12","26,614.04",55%,"19,503.48","48,195.05",
